first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,next_player,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,first_player_final_score,second_player_final_score,final_score_difference,outcome
62,61,1,12.4,15.25,1,542,605,-63,0,0,0.0,0.0,first_player,66,5,4,0.5454545454545454,1,1,12,13,false,244,353,-109,false
62,83,-21,12.4,16.6,-21,542,605,-63,0,0,0.0,0.0,second_player,63,5,5,0.5714285714285714,1,1,12,6,false,244,353,-109,false
90,83,7,15.0,16.6,7,542,605,-63,0,0,0.0,0.0,first_player,60,6,5,0.6,0,1,12,6,false,244,353,-109,false
90,100,-10,15.0,16.666666666666668,-10,542,605,-63,0,0,0.0,0.0,second_player,56,6,6,0.6428571428571429,0,0,12,28,false,244,353,-109,false
97,100,-3,13.857142857142858,16.666666666666668,-3,542,605,-63,0,0,0.0,0.0,first_player,53,7,6,0.6792452830188679,0,0,10,28,false,244,353,-109,false
97,139,-42,13.857142857142858,19.857142857142858,-42,542,605,-63,0,0,0.0,0.0,second_player,50,7,7,0.72,0,0,10,19,false,244,353,-109,false
114,139,-25,14.25,19.857142857142858,-25,542,605,-63,0,0,0.0,0.0,first_player,47,8,7,0.7659574468085106,0,0,8,19,false,244,353,-109,false
114,171,-57,14.25,21.375,-57,542,605,-63,0,0,0.0,0.0,second_player,44,8,8,0.8181818181818182,0,0,8,13,false,244,353,-109,false
120,171,-51,13.333333333333334,21.375,-51,542,605,-63,0,0,0.0,0.0,first_player,41,9,8,0.8780487804878049,0,0,12,13,false,244,353,-109,false
120,196,-76,13.333333333333334,21.77777777777778,-76,542,605,-63,0,0,0.0,0.0,second_player,37,9,9,0.972972972972973,0,0,12,19,false,244,353,-109,false
146,196,-50,14.6,21.77777777777778,-50,542,605,-63,0,0,0.0,0.0,first_player,35,10,9,1.0285714285714285,0,0,10,19,false,244,353,-109,false
146,229,-83,14.6,22.9,-83,542,605,-63,0,0,0.0,0.0,second_player,32,10,10,1.125,0,0,10,16,false,244,353,-109,false
162,229,-67,14.727272727272727,22.9,-67,542,605,-63,0,0,0.0,0.0,first_player,28,11,10,1.2857142857142858,0,0,10,16,false,244,353,-109,false
162,270,-108,14.727272727272727,24.545454545454547,-108,542,605,-63,0,0,0.0,0.0,second_player,25,11,11,1.44,0,0,10,10,false,244,353,-109,false
